  100    0 4.600000000E+09
 1006    0    0    0    0    0    0    0    0
 2.868117437E+02 2.873116988E+02 2.878116510E+02 2.883116001E+02 2.888115459E+02
 2.893114883E+02 2.898117392E+02 2.903113618E+02 2.908112922E+02 2.913116799E+02
 2.918116574E+02 2.923116334E+02 2.928116080E+02 2.933115808E+02 2.938115519E+02
 2.943115211E+02 2.948114883E+02 2.953114534E+02 2.958114162E+02 2.963113765E+02
 2.968113342E+02 2.973112892E+02 2.978112412E+02 2.983111900E+02 2.988111354E+02
 2.993110772E+02 2.998110151E+02 3.003109490E+02 3.008108785E+02 3.013108034E+02
 3.018107233E+02 3.023106380E+02 3.028105471E+02 3.033104504E+02 3.038103474E+02
 3.043102378E+02 3.048101212E+02 3.053099974E+02 3.058098658E+02 3.063097262E+02
 3.068095781E+02 3.073042709E+02 3.078037633E+02 3.083032795E+02 3.088088963E+02
 3.093087001E+02 3.098084950E+02 3.103082796E+02 3.108080539E+02 3.113078178E+02
 3.118075716E+02 3.123073153E+02 3.128070494E+02 3.133067744E+02 3.138064908E+02
 3.143061996E+02 3.148059018E+02 3.153055988E+02 3.158052919E+02 3.163049831E+02
 3.168105998E+02 3.173104362E+02 3.178103085E+02 3.183101786E+02 3.188035394E+02
 3.193032320E+02 3.198029881E+02 3.203097020E+02 3.208095471E+02 3.213094366E+02
 3.218093359E+02 3.223092476E+02 3.228091740E+02 3.233091178E+02 3.238090814E+02
 3.243113897E+02 3.248114204E+02 3.253114440E+02 3.258114696E+02 3.262620178E+02
 3.268113234E+02 3.272737931E+02 3.278114254E+02 3.282842377E+02 3.288115174E+02
 3.292927351E+02 3.297772142E+02 3.302644224E+02 3.308115893E+02 3.313026551E+02
 3.317945764E+02 3.322867111E+02 3.327784122E+02 3.332690380E+02 3.338117543E+02
 3.342980821E+02 3.347814730E+02 3.353118021E+02 3.357873450E+02 3.363118366E+02
 3.367776114E+02 3.373124108E+02 3.378144596E+02 3.383145228E+02 3.388145559E+02
 3.393145632E+02 3.398145467E+02 3.403145084E+02 3.408144508E+02 3.413143763E+02
 3.418142866E+02 3.423141848E+02 3.428140728E+02 3.433139528E+02 3.438138267E+02
 3.443136964E+02 3.448135635E+02 3.453134296E+02 3.458132960E+02 3.463131638E+02
 3.468130342E+02 3.473186492E+02 3.478183074E+02 3.483180031E+02 3.488177035E+02
 3.493174102E+02 3.498171242E+02 3.503168464E+02 3.508165776E+02 3.513163183E+02
 3.518239083E+02 3.523232037E+02 3.528155886E+02 3.533153822E+02 3.538151742E+02
 3.543149764E+02 3.548147888E+02 3.553146113E+02 3.558144434E+02 3.563142849E+02
 3.568141355E+02 3.573139948E+02 3.578138626E+02 3.583137383E+02 3.588136217E+02
 3.593135124E+02 3.598134100E+02 3.603133141E+02 3.608167873E+02 3.613131425E+02
 3.618130620E+02 3.623129887E+02 3.628129203E+02 3.633157789E+02 3.638155978E+02
 3.643154432E+02 3.648152981E+02 3.653126427E+02 3.658125955E+02 3.663118858E+02
 3.668148151E+02 3.673146989E+02 3.678146014E+02 3.683145102E+02 3.688123821E+02
 3.693123524E+02 3.698123264E+02 3.703142076E+02 3.708141369E+02 3.713140766E+02
 3.718140202E+02 3.723139677E+02 3.728139187E+02 3.733138731E+02 3.738138307E+02
 3.743137911E+02 3.748137543E+02 3.753137200E+02 3.758136880E+02 3.763121095E+02
 3.768120976E+02 3.773120877E+02 3.778135839E+02 3.783135583E+02 3.788135374E+02
