    4    0 4.500000000E+09
  330    0    0    0    0    0    0    0    0
 7.897233552E-01 7.884366382E-01 7.871420665E-01 7.858378182E-01 7.845249297E-01
 7.832034172E-01 7.818719961E-01 7.805321626E-01 7.791842148E-01 7.778269203E-01
 7.764634464E-01 7.751176443E-01 7.737165726E-01 7.723324509E-01 7.709414748E-01
 7.695441725E-01 7.681407628E-01 7.667305646E-01 7.653285689E-01 7.639198890E-01
 7.624697187E-01 7.610391928E-01 7.596032209E-01 7.581624053E-01 7.567165133E-01
 7.552665298E-01 7.538122053E-01 7.523536547E-01 7.508907524E-01 7.494237901E-01
 7.479528737E-01 7.464829175E-01 7.449996848E-01 7.435173589E-01 7.420315205E-01
 7.405422022E-01 7.390494447E-01 7.375533188E-01 7.360543550E-01 7.345594415E-01
 7.330455246E-01 7.315364388E-01 7.300243945E-01 7.285093077E-01 7.269912164E-01
 7.254709592E-01 7.239615044E-01 7.224203067E-01 7.208894799E-01 7.193568321E-01
 7.178213450E-01 7.162830408E-01 7.147430417E-01 7.132239360E-01 7.116514256E-01
 7.101020549E-01 7.085499404E-01 7.069951019E-01 7.054388783E-01 7.038786581E-01
 7.023152074E-01 7.007486943E-01 6.991803598E-01 6.976093385E-01 6.960356334E-01
 6.944608165E-01 6.928817835E-01 6.912987961E-01 6.897140087E-01 6.881268978E-01
 6.865371011E-01 6.849446183E-01 6.833512371E-01 6.818234739E-01 6.801513759E-01
 6.785478226E-01 6.769418999E-01 6.753332859E-01 6.737219815E-01 6.721099810E-01
 6.705841619E-01 6.688719452E-01 6.672499823E-01 6.656253203E-01 6.639980092E-01
 6.623702099E-01 6.607376582E-01 6.591014948E-01 6.574624945E-01 6.558221241E-01
 6.541791926E-01 6.525337204E-01 6.508880662E-01 6.492376061E-01 6.475846700E-01
 6.459268639E-01 6.442690328E-01 6.426088089E-01 6.409462240E-01 6.392813109E-01
 6.376141043E-01 6.359446395E-01 6.342729557E-01 6.325990924E-01 6.309230908E-01
 6.292449947E-01 6.275648508E-01 6.258827075E-01 6.242014316E-01 6.225154889E-01
 6.208248224E-01 6.191352368E-01 6.174439358E-01 6.157509842E-01 6.140564476E-01
 6.123603976E-01 6.106629080E-01 6.089640573E-01 6.072639285E-01 6.055626076E-01
 6.038601792E-01 6.021567303E-01 6.004523533E-01 5.987505702E-01 5.970446867E-01
 5.953346463E-01 5.936275780E-01 5.919201157E-01 5.902123837E-01 5.885045005E-01
 5.867965955E-01 5.850888021E-01 5.833812607E-01 5.816780813E-01 5.799707908E-01
 5.782657483E-01 5.765566599E-01 5.748527059E-01 5.731499653E-01 5.714486165E-01
 5.697488442E-01 5.680552968E-01 5.663593359E-01 5.646655351E-01 5.629694536E-01
 5.612805603E-01 5.595944748E-01 5.579114117E-01 5.562364868E-01 5.545639010E-01
 5.529048071E-01 5.512138151E-01 5.495491896E-01 5.478889301E-01 5.462870653E-01
 3.710834563E+02 3.719809405E+02 3.727837968E+02 3.735766561E+02 3.743605687E+02
 3.751388981E+02 3.759101337E+02 3.766798409E+02 3.774523578E+02 3.782266793E+02
 3.790037672E+02 3.797831790E+02 3.805644425E+02 3.813477814E+02 3.821330377E+02
 3.829205253E+02 3.837102480E+02 3.845017264E+02 3.852949491E+02 3.860903531E+02
 3.868876439E+02 3.876868574E+02 3.884138384E+02 3.892911306E+02 3.900961873E+02
 3.909032496E+02 3.917123967E+02 3.925234374E+02 3.933365241E+02 3.941516970E+02
 3.949689287E+02 3.957882709E+02 3.966096802E+02 3.974332357E+02 3.982589409E+02
 3.990148324E+02 3.999168624E+02 4.007491826E+02 4.015837205E+02 4.024205054E+02
 4.031867686E+02 4.041010042E+02 4.049447445E+02 4.057907905E+02 4.066393024E+02
 4.074900754E+02 4.083432654E+02 4.091988531E+02 4.100569804E+02 4.109175831E+02
 4.117802237E+02 4.126456198E+02 4.135134865E+02 4.143839193E+02 4.152568057E+02
 4.161322649E+02 4.170101631E+02 4.178906462E+02 4.187736147E+02 4.196591166E+02
 4.205470432E+02 4.214383557E+02 4.223309468E+02 4.232266913E+02 4.241248621E+02
 4.250265896E+02 4.259293381E+02 4.268353464E+02 4.277436768E+02 4.286556058E+02
 4.295686364E+02 4.304848015E+02 4.314037112E+02 4.323257167E+02 4.332484562E+02
 4.341747119E+02 4.351037321E+02 4.360358787E+02 4.369684657E+02 4.379043354E+02
 4.388442520E+02 4.397857705E+02 4.407279829E+02 4.416735466E+02 4.426237498E+02
 4.435729919E+02 4.445260586E+02 4.454810118E+02 4.464403549E+02 4.473990755E+02
 4.483612574E+02 4.493261678E+02 4.502940807E+02 4.512609026E+02 4.522311890E+02
 4.532060471E+02 4.541814956E+02 4.551562895E+02 4.561346971E+02 4.571179257E+02
 4.580982123E+02 4.590824572E+02 4.600691950E+02 4.610583501E+02 4.620451346E+02
 4.630234917E+02 4.640302784E+02 4.650211354E+02 4.660156913E+02 4.670123368E+02
 4.680106271E+02 4.690056125E+02 4.699652792E+02 4.710030503E+02 4.720023560E+02
 4.730021479E+02 4.739477857E+02 4.750019894E+02 4.760018632E+02 4.769353384E+02
 4.780003170E+02 4.789980474E+02 4.799949727E+02 4.809901610E+02 4.819869409E+02
 4.829767313E+02 4.839666789E+02 4.849555057E+02 4.859407065E+02 4.869200621E+02
 4.878975327E+02 4.888732789E+02 4.898425232E+02 4.908055289E+02 4.917648343E+02
 4.927194150E+02 4.936665884E+02 4.946063232E+02 4.955400859E+02 4.964657213E+02
 4.973834628E+02 4.982927087E+02 4.991928593E+02 5.000834932E+02 5.009645164E+02
 5.018350439E+02 5.026943405E+02 5.035429001E+02 5.043801139E+02 5.052065454E+02
 5.060195935E+02 5.068204732E+02 5.076106514E+02 5.083872335E+02 5.091512369E+02
 5.099010684E+02 5.106391886E+02 5.113646978E+02 5.120787713E+02 5.127787695E+02
 5.134643016E+02 5.141401249E+02 5.148019776E+02 5.154512569E+02 5.160886226E+02
 5.167136953E+02 5.173255317E+02 5.179268484E+02 5.185165247E+02 5.190958851E+02
 5.196628143E+02 5.202185247E+02 5.207627726E+02 5.212972608E+02 5.218213116E+02
 5.223351159E+02 5.228396736E+02 5.233335119E+02 5.238176787E+02 5.242921135E+02
 5.247571372E+02 5.252134873E+02 5.256609170E+02 5.260995945E+02 5.265301571E+02
 5.269518410E+02 5.273578019E+02 5.277700085E+02 5.281671731E+02 5.285566007E+02
 5.289383432E+02 5.293125290E+02 5.296795068E+02 5.300356596E+02 5.303850373E+02
 5.307361012E+02 5.310741120E+02 5.314053571E+02 5.317298268E+02 5.320476915E+02
 5.323588452E+02 5.326634477E+02 5.329615909E+02 5.332534154E+02 5.335389632E+02
 5.338183013E+02 5.340906052E+02 5.343585439E+02 5.346195811E+02 5.348746031E+02
 5.351236852E+02 5.353668894E+02 5.356042618E+02 5.358357684E+02 5.360604309E+02
 5.362816920E+02 5.364960670E+02 5.367047609E+02 5.369078248E+02 5.371052827E+02
 5.372970501E+02 5.374815873E+02 5.376640156E+02 5.378392841E+02 5.380088973E+02
 5.381729921E+02 5.383315768E+02 5.384845454E+02 5.386297893E+02 5.387742589E+02
 5.389107937E+02 5.390418271E+02 5.391673585E+02 5.392872823E+02 5.394017899E+02
 5.395107994E+02 5.396142835E+02 5.397121594E+02 5.398044789E+02 5.398912302E+02
 5.399723195E+02 5.400478870E+02 5.401178819E+02 5.401821896E+02 5.402408235E+02
