  100    0 4.600000000E+09
  875    0    0    0    0    0    0    0    0
 2.450447379E+02 2.455447061E+02 2.460420897E+02 2.465420068E+02 2.470419332E+02
 2.475418611E+02 2.480417904E+02 2.485445465E+02 2.490445139E+02 2.495449096E+02
 2.500454139E+02 2.505442705E+02 2.510414511E+02 2.515413902E+02 2.520413422E+02
 2.525412954E+02 2.530412499E+02 2.535412057E+02 2.540411627E+02 2.545442576E+02
 2.550442318E+02 2.555451991E+02 2.560410194E+02 2.565409591E+02 2.570409215E+02
 2.575441284E+02 2.580441049E+02 2.585454571E+02 2.590408384E+02 2.595407995E+02
 2.600440471E+02 2.605440320E+02 2.609986659E+02 2.615412092E+02 2.620407433E+02
 2.625407302E+02 2.630407207E+02 2.635407120E+02 2.640407040E+02 2.645406969E+02
 2.650406905E+02 2.655439214E+02 2.660439115E+02 2.665341538E+02 2.670450843E+02
 2.675439659E+02 2.680407364E+02 2.685407286E+02 2.690407420E+02 2.695407563E+02
 2.700407715E+02 2.705407873E+02 2.710408039E+02 2.715438812E+02 2.720408583E+02
 2.725438820E+02 2.730438838E+02 2.735438851E+02 2.740453789E+02 2.745454561E+02
 2.750409971E+02 2.755409982E+02 2.760410280E+02 2.765410586E+02 2.770410898E+02
 2.775411216E+02 2.780439293E+02 2.785439386E+02 2.790412379E+02 2.795412555E+02
 2.800412902E+02 2.805439707E+02 2.810439818E+02 2.815453006E+02 2.820454006E+02
 2.825454536E+02 2.830440260E+02 2.835440366E+02 2.840440485E+02 2.845440607E+02
 2.850440732E+02 2.855440859E+02 2.860440990E+02 2.865441125E+02 2.870441263E+02
 2.875441403E+02 2.880441548E+02 2.885441695E+02 2.890452732E+02 2.895452715E+02
 2.900442183E+02 2.905442341E+02 2.910442507E+02 2.915452742E+02 2.920160743E+02
 2.925442787E+02 2.930443156E+02 2.935424888E+02 2.940425292E+02 2.945443645E+02
 2.950443834E+02 2.955444012E+02 2.960452835E+02 2.965452846E+02 2.970428468E+02
 2.975428889E+02 2.980429409E+02 2.985429929E+02 2.990430449E+02 2.995445496E+02
 3.000445697E+02 3.005432061E+02 3.010432534E+02 3.015446262E+02 3.020446465E+02
 3.025446660E+02 3.030453182E+02 3.035454244E+02 3.040441188E+02 3.045447435E+02
 3.050436758E+02 3.055437248E+02 3.060437771E+02 3.065438296E+02 3.070438822E+02
 3.075439351E+02 3.080439882E+02 3.085449018E+02 3.090449225E+02 3.095449430E+02
 3.100449636E+02 3.105449840E+02 3.110450044E+02 3.115443628E+02 3.120444143E+02
 3.125444669E+02 3.130445195E+02 3.135445721E+02 3.140446247E+02 3.145446773E+02
 3.150451663E+02 3.155451868E+02 3.160452073E+02 3.165452278E+02 3.170452483E+02
 3.175452686E+02 3.180452888E+02 3.185453089E+02 3.190451488E+02 3.195454466E+02
 3.200454508E+02 3.205454551E+02 3.210453551E+02 3.215454067E+02 3.220454494E+02
 3.225454695E+02 3.230454897E+02 3.235454811E+02 3.240454855E+02 3.245455498E+02
 3.250457664E+02 3.255458171E+02 3.260458677E+02 3.265459181E+02 3.270459683E+02
 3.275460184E+02 3.280460684E+02 3.285457069E+02 3.290457263E+02 3.295457456E+02
 3.300455358E+02 3.305455397E+02 3.310455437E+02 3.315464148E+02 3.320464621E+02
 3.325465103E+02 3.330465583E+02 3.335466060E+02 3.340466534E+02 3.345467005E+02
 3.350467473E+02 3.355459692E+02 3.360459873E+02 3.365455846E+02 3.370455878E+02
 3.375455912E+02 3.380470255E+02 3.385470670E+02 3.390471114E+02 3.395471554E+02
 3.400471989E+02 3.405472420E+02 3.410472846E+02 3.415473266E+02 3.420461892E+02
 3.425462054E+02 3.430462207E+02 3.435456258E+02 3.440456277E+02 3.445475745E+02
 3.450476071E+02 3.455476452E+02 3.460476826E+02 3.465477193E+02 3.470477554E+02
 3.475477907E+02 3.480478253E+02 3.485478592E+02 3.490463849E+02 3.495463977E+02
 3.500456484E+02 3.505456487E+02 3.510456496E+02 3.515480559E+02 3.520480755E+02
 3.525481035E+02 3.530481307E+02 3.535481570E+02 3.540481826E+02 3.545482072E+02
 3.550482310E+02 3.555465131E+02 3.560465217E+02 3.565465288E+02 3.570465355E+02
 3.575456515E+02 3.580483679E+02 3.585520983E+02 3.590520939E+02 3.595521319E+02
 3.600484086E+02 3.605484404E+02 3.610484550E+02 3.615484689E+02 3.620484821E+02
 3.625465876E+02 3.630485150E+02 3.635465934E+02 3.640456351E+02 3.645456319E+02
 3.650485613E+02 3.655466021E+02 3.660466049E+02 3.665466063E+02 3.670456226E+02
 3.675469815E+02 3.680485980E+02 3.685485953E+02 3.690485997E+02 3.695486038E+02
 3.700486077E+02 3.705486114E+02 3.710486149E+02 3.715486181E+02 3.720486212E+02
 3.725486240E+02 3.730486267E+02 3.735486292E+02 3.740486314E+02 3.745486335E+02
 3.750486354E+02 3.755486372E+02 3.760486387E+02 3.765486401E+02 3.770465891E+02
 3.775465880E+02 3.780465860E+02 3.785486529E+02 3.790486442E+02 3.795486446E+02
 3.800486448E+02 3.805486448E+02 3.810486446E+02 3.815486443E+02 3.820486439E+02
 3.825465637E+02 3.830465613E+02 3.835455163E+02 3.840455102E+02 3.845465521E+02
 3.850465486E+02 3.855486432E+02 3.860486320E+02 3.865486297E+02 3.870486273E+02
 3.875486246E+02 3.880486218E+02 3.885486189E+02 3.890486158E+02 3.895486126E+02
 3.900486092E+02 3.905465067E+02 3.910465022E+02 3.915464978E+02 3.920464933E+02
 3.925485985E+02 3.930485856E+02 3.935485812E+02 3.940464751E+02 3.945464698E+02
 3.950172776E+02 3.955486798E+02 3.960485541E+02 3.965485485E+02 3.970485422E+02
 3.975485359E+02 3.980464328E+02 3.985464263E+02 3.990464205E+02 3.995527405E+02
 4.000526534E+02 4.005526443E+02 4.010484713E+02 4.015484792E+02 4.020484714E+02
 4.025484635E+02 4.030463724E+02 4.035463648E+02 4.040463582E+02 4.045463514E+02
 4.050484269E+02 4.055484099E+02 4.060463317E+02 4.065463230E+02 4.070483865E+02
 4.075483691E+02 4.080524833E+02 4.085524178E+02 4.090524005E+02 4.095483123E+02
 4.100483142E+02 4.105483027E+02 4.110462568E+02 4.115462469E+02 4.120462350E+02
 4.125482592E+02 4.130462240E+02 4.135462134E+02 4.140462049E+02 4.145522255E+02
 4.150521335E+02 4.155521080E+02 4.160520811E+02 4.165481283E+02 4.170481240E+02
 4.175481085E+02 4.180461365E+02 4.185461248E+02 4.190461155E+02 4.195519294E+02
 4.200480145E+02 4.205480063E+02 4.210479879E+02 4.215479693E+02 4.220479504E+02
 4.225516894E+02 4.230479030E+02 4.235478918E+02 4.240478716E+02 4.245460107E+02
 4.250456320E+02 4.255514528E+02 4.260513508E+02 4.265513032E+02 4.270512541E+02
 4.275512040E+02 4.280511527E+02 4.285476601E+02 4.290476418E+02 4.295476167E+02
 4.300458962E+02 4.305456126E+02 4.310508585E+02 4.315507526E+02 4.320506898E+02
 4.325506253E+02 4.330505595E+02 4.335473906E+02 4.340473654E+02 4.345473353E+02
 4.350457913E+02 4.355457785E+02 4.360501618E+02 4.365500520E+02 4.370499728E+02
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
