  100    0 4.600000000E+09
  374    0    0    0    0    0    0    0    0
 7.716709445E-01 7.709311454E-01 7.701915938E-01 7.694529676E-01 7.687152251E-01
 7.679776371E-01 7.672401691E-01 7.665034646E-01 7.657671623E-01 7.650312184E-01
 7.642955960E-01 7.635602577E-01 7.628254943E-01 7.620904761E-01 7.613555637E-01
 7.606209738E-01 7.598864723E-01 7.591520183E-01 7.584175709E-01 7.576830883E-01
 7.569488319E-01 7.562139310E-01 7.554790097E-01 7.547439641E-01 7.540086723E-01
 7.532730919E-01 7.525371801E-01 7.518008940E-01 7.510644651E-01 7.503270991E-01
 7.495893618E-01 7.488511500E-01 7.481123518E-01 7.473729258E-01 7.466328305E-01
 7.458943802E-01 7.451556635E-01 7.444166332E-01 7.436649321E-01 7.429208714E-01
 7.421758992E-01 7.414299787E-01 7.406830737E-01 7.399351489E-01 7.391861697E-01
 7.384430786E-01 7.376993176E-01 7.369325756E-01 7.361790528E-01 7.354243206E-01
 7.346683518E-01 7.339111200E-01 7.331525994E-01 7.323927653E-01 7.316315935E-01
 7.308805272E-01 7.301053635E-01 7.293398814E-01 7.285730821E-01 7.278048878E-01
 7.270352229E-01 7.262640673E-01 7.254914022E-01 7.247172099E-01 7.239414738E-01
 7.231641779E-01 7.224020351E-01 7.216049004E-01 7.208227941E-01 7.200391306E-01
 7.192538526E-01 7.184669528E-01 7.176784249E-01 7.168882629E-01 7.161175050E-01
 7.153030203E-01 7.145079192E-01 7.137339677E-01 7.129589714E-01 7.121125714E-01
 7.113107413E-01 7.105072166E-01 7.097019920E-01 7.088950651E-01 7.080864340E-01
 7.072760973E-01 7.064640541E-01 7.056503042E-01 7.048348473E-01 7.040176839E-01
 7.032302077E-01 7.023785596E-01 7.015556642E-01 7.007312559E-01 6.999055376E-01
 6.990781022E-01 6.982496812E-01 6.974188203E-01 6.965862432E-01 6.957519508E-01
 6.949159436E-01 6.940782230E-01 6.932387900E-01 6.923976462E-01 6.915547931E-01
 6.907536662E-01 6.898643072E-01 6.890615546E-01 6.881654461E-01 6.873140903E-01
 6.864609842E-01 6.856061709E-01 6.847496516E-01 6.838922928E-01 6.830323742E-01
 6.821707544E-01 6.813074350E-01 6.804424173E-01 6.795757029E-01 6.787639216E-01
 6.778373830E-01 6.769644715E-01 6.760909766E-01 6.752157833E-01 6.743398303E-01
 6.734612452E-01 6.726448392E-01 6.716984441E-01 6.708143382E-01 6.699289600E-01
 6.690418899E-01 6.681541108E-01 6.672636707E-01 6.664430408E-01
 3.725076344E+02 3.729315824E+02 3.733466826E+02 3.737469615E+02 3.741185601E+02
 3.745485242E+02 3.749499388E+02 3.753518336E+02 3.757537617E+02 3.761560336E+02
 3.765586332E+02 3.769615019E+02 3.773647345E+02 3.777680964E+02 3.781716875E+02
 3.785756900E+02 3.789798578E+02 3.793843305E+02 3.797890463E+02 3.801940210E+02
 3.805993410E+02 3.810050226E+02 3.814109532E+02 3.818171987E+02 3.822237395E+02
 3.826306269E+02 3.830378650E+02 3.834454403E+02 3.838533556E+02 3.842616129E+02
 3.846702475E+02 3.850791691E+02 3.854884773E+02 3.858980867E+02 3.863080795E+02
 3.867184311E+02 3.871291471E+02 3.875402340E+02 3.879517167E+02 3.883383697E+02
 3.887758072E+02 3.891884473E+02 3.896014777E+02 3.900149343E+02 3.904288077E+02
 3.908431044E+02 3.912578311E+02 3.916730060E+02 3.920886107E+02 3.925046696E+02
 3.929211807E+02 3.933381395E+02 3.937555752E+02 3.941734817E+02 3.945918650E+02
 3.950107443E+02 3.954301017E+02 3.958499433E+02 3.962703124E+02 3.966911780E+02
 3.971125430E+02 3.975344426E+02 3.979568682E+02 3.983798256E+02 3.988033374E+02
 3.992273770E+02 3.996519513E+02 4.000770830E+02 4.005027751E+02 4.009289836E+02
 4.013558355E+02 4.017832108E+02 4.022111767E+02 4.026396871E+02 4.030687642E+02
 4.034984384E+02 4.039286973E+02 4.043595448E+02 4.047909847E+02 4.052230208E+02
 4.056556829E+02 4.060889231E+02 4.065227277E+02 4.069571467E+02 4.073922172E+02
 4.078279035E+02 4.082642650E+02 4.087011897E+02 4.091387358E+02 4.095769348E+02
 4.100157020E+02 4.104551495E+02 4.108701378E+02 4.113358472E+02 4.117771575E+02
 4.122191004E+02 4.126616776E+02 4.131049204E+02 4.135487022E+02 4.139931738E+02
 4.144383055E+02 4.148840801E+02 4.153305550E+02 4.157776179E+02 4.162253263E+02
 4.166737092E+02 4.171226456E+02 4.175723304E+02 4.180226286E+02 4.184735776E+02
 4.189251781E+02 4.193774309E+02 4.198303616E+02 4.202839193E+02 4.207381086E+02
 4.211929715E+02 4.216484919E+02 4.221046676E+02 4.225614983E+02 4.230189833E+02
 4.234771405E+02 4.239359296E+02 4.243953669E+02 4.248554440E+02 4.253161462E+02
 4.257775300E+02 4.262395798E+02 4.267022510E+02 4.271655751E+02 4.276295256E+02
 4.280941174E+02 4.285593546E+02 4.290252307E+02 4.294917498E+02 4.299589067E+02
 4.304267020E+02 4.308951317E+02 4.313642147E+02 4.318339260E+02 4.323042680E+02
 4.327752438E+02 4.332468214E+02 4.337190567E+02 4.341919049E+02 4.346654069E+02
 4.351395720E+02 4.356143120E+02 4.360896709E+02 4.365655864E+02 4.370421699E+02
 4.375193626E+02 4.379971279E+02 4.384756140E+02 4.389546389E+02 4.394342337E+02
 4.399144178E+02 4.403950900E+02 4.408764352E+02 4.413583069E+02 4.418408111E+02
 4.423239074E+02 4.428075279E+02 4.432917053E+02 4.437764347E+02 4.442616459E+02
 4.447474580E+02 4.452338086E+02 4.457207669E+02 4.462081767E+02 4.466961058E+02
 4.471845482E+02 4.476734975E+02 4.481629473E+02 4.486527971E+02 4.491432868E+02
 4.496342274E+02 4.501256060E+02 4.506174471E+02 4.511097420E+02 4.516024821E+02
 4.520955412E+02 4.525892195E+02 4.530832783E+02 4.535777028E+02 4.540725227E+02
 4.545677268E+02 4.550633039E+02 4.555591014E+02 4.560554278E+02 4.565521525E+02
 4.570490995E+02 4.575463563E+02 4.580439093E+02 4.585417439E+02 4.590396811E+02
 4.595380821E+02 4.600367878E+02 4.605355971E+02 4.610346094E+02 4.615338076E+02
 4.620331738E+02 4.625325026E+02 4.629957851E+02 4.635320945E+02 4.640319434E+02
 4.645318634E+02 4.650318328E+02 4.655318297E+02 4.660316241E+02 4.665315957E+02
 4.670317357E+02 4.675316300E+02 4.680314129E+02 4.685310783E+02 4.690305993E+02
 4.695299487E+02 4.700288721E+02 4.705278295E+02 4.710264515E+02 4.715248243E+02
 4.720228780E+02 4.725205807E+02 4.730178999E+02 4.735148020E+02 4.740113037E+02
 4.745072167E+02 4.750026599E+02 4.754975453E+02 4.759918355E+02 4.764854927E+02
 4.769784780E+02 4.774708042E+02 4.779622723E+02 4.784530016E+02 4.789428970E+02
 4.794319161E+02 4.799200160E+02 4.804071528E+02 4.808932955E+02 4.813783568E+02
 4.818623353E+02 4.823451701E+02 4.828270455E+02 4.833074512E+02 4.837863462E+02
 4.842641332E+02 4.847407616E+02 4.852157445E+02 4.856892444E+02 4.861612172E+02
 4.866316136E+02 4.871003841E+02 4.875672699E+02 4.880327228E+02 4.884964382E+02
 4.889582058E+02 4.894180997E+02 4.898760707E+02 4.903320698E+02 4.907860481E+02
 4.912377706E+02 4.916876971E+02 4.921353707E+02 4.925807842E+02 4.930239407E+02
